Instance ID,Instance State,Launch Time,Instance Type,Tags
i-0e97fa7146ee99880,running,2022-06-19 20:41:38+00:00,t2.micro,"[{'Key': 'Name', 'Value': 'test1'}]"
i-0f9ebbc1645e55dcb,running,2022-06-19 20:41:14+00:00,t2.micro,"[{'Key': 'Name', 'Value': 'test'}]"
